pitch control
time,pitch\_input,pitch\_setpoint,elevator\_angle\_output,
seconds,rad,rad,rad,
5512.08174920, -0.04000000, -0.03200000,  0.14630000,
5512.18163133, -0.04020000, -0.03090000,  0.15420000,
5512.28162909, -0.04030000, -0.03260000,  0.14140000,
5512.38159132, -0.04040000, -0.03090000,  0.14470000,
5512.48195720, -0.04060000, -0.03370000,  0.13040000,
5512.58160710, -0.04080000, -0.03090000,  0.13690000,
5512.68161869, -0.04100000, -0.03200000,  0.12450000,
5512.78156304, -0.04070000, -0.03200000,  0.10610000,
5512.88170767, -0.04020000, -0.03200000,  0.09800000,
5512.98174548, -0.03980000, -0.03030000,  0.10840000,
5513.08163714, -0.03950000, -0.03310000,  0.09950000,
5513.18161988, -0.03930000, -0.03080000,  0.11080000,
5513.28172255, -0.03890000, -0.03370000,  0.09370000,
5513.38166738, -0.03860000, -0.03190000,  0.10250000,
5513.48159695, -0.03830000, -0.03130000,  0.10000000,
5513.58167100, -0.03780000, -0.02960000,  0.10910000,
5513.68163872, -0.03770000, -0.03300000,  0.10000000,
5513.78163362, -0.03750000, -0.03020000,  0.11320000,
5513.88190818, -0.03700000, -0.03310000,  0.09640000,
5513.98224187, -0.03700000, -0.03080000,  0.10710000,
5514.08174062, -0.03690000, -0.03090000,  0.11120000,
5514.18165398, -0.03690000, -0.03370000,  0.10240000,
5514.28160644, -0.03710000, -0.03260000,  0.11150000,
5514.38163900, -0.03720000, -0.03090000,  0.12490000,
5514.48169422, -0.03740000, -0.03320000,  0.11490000,
5514.58185196, -0.03750000, -0.03030000,  0.12850000,
5514.68164945, -0.03790000, -0.03320000,  0.12180000,
5514.78174353, -0.03800000, -0.03150000,  0.13930000,
5514.88163733, -0.03840000, -0.03080000,  0.15790000,
5514.98169351, -0.03900000, -0.03310000,  0.14660000,
5515.08169746, -0.03920000, -0.03140000,  0.14480000,
5515.18165803, -0.03960000, -0.02970000,  0.15230000,
5515.28161645, -0.04010000, -0.03140000,  0.14890000,
5515.38170004, -0.04050000, -0.03090000,  0.15440000,
5515.48161101, -0.04090000, -0.03310000,  0.14130000,
5515.58162856, -0.04100000, -0.03020000,  0.14940000,
5515.68162084, -0.04130000, -0.03260000,  0.12880000,
5515.78161621, -0.04120000, -0.03080000,  0.12890000,
5515.88158774, -0.04100000, -0.03310000,  0.10710000,
5515.98162699, -0.04070000, -0.03140000,  0.11190000,
5516.08162284, -0.04070000, -0.03140000,  0.12320000,
5516.18160796, -0.04060000, -0.03030000,  0.13400000,
5516.28165340, -0.04040000, -0.03200000,  0.12860000,
5516.38168621, -0.04050000, -0.03030000,  0.13790000,
5516.48168159, -0.04060000, -0.03320000,  0.13220000,
5516.58192730, -0.04050000, -0.03030000,  0.14530000,
5516.68165469, -0.04080000, -0.03320000,  0.14280000,
5516.78162336, -0.04110000, -0.03150000,  0.15550000,
5516.88195562, -0.04140000, -0.03150000,  0.15500000,
5516.98160315, -0.04190000, -0.03260000,  0.15900000,
5517.08166313, -0.04230000, -0.03150000,  0.16050000,
5517.18172073, -0.04260000, -0.03150000,  0.15650000,
