depth
time,pressure,depth_raw,depth_filt,
seconds,Pa,m,m,
2984.25393081,-4246.14720000, -0.43300000, -0.44360000,
2984.35404944,-4197.12830000, -0.42800000, -0.44200000,
2984.45390439,-4186.06560000, -0.42690000, -0.44050000,
2984.55720496,-4159.55340000, -0.42420000, -0.43890000,
2984.65601921,-4134.56710000, -0.42160000, -0.43720000,
2984.75764680,-4176.33810000, -0.42590000, -0.43600000,
2984.85653281,-4208.95380000, -0.42920000, -0.43530000,
2984.95874596,-4188.73590000, -0.42710000, -0.43450000,
2985.05934262,-4235.84750000, -0.43190000, -0.43430000,
2985.15710545,-4243.66760000, -0.43270000, -0.43410000,
2985.25961542,-4257.20980000, -0.43410000, -0.43410000,
2985.35993147,-4353.14970000, -0.44390000, -0.43510000,
2985.46000814,-4461.48730000, -0.45490000, -0.43710000,
2985.56005478,-4495.05670000, -0.45840000, -0.43920000,
2985.64126921,-4553.61240000, -0.46430000, -0.44170000,
2985.76115632,-4608.16260000, -0.46990000, -0.44450000,
2985.86111951,-4637.34510000, -0.47290000, -0.44740000,
2985.96237469,-4659.08890000, -0.47510000, -0.45010000,
2986.06432056,-4645.54670000, -0.47370000, -0.45250000,
2986.16332793,-4562.19540000, -0.46520000, -0.45380000,
2986.26313019,-4566.58240000, -0.46570000, -0.45500000,
2986.36325240,-4506.11930000, -0.45950000, -0.45540000,
2986.46592617,-4463.39460000, -0.45510000, -0.45540000,
2986.54216385,-4403.50380000, -0.44900000, -0.45480000,
2986.66503572,-4339.79820000, -0.44250000, -0.45350000,
2986.76738358,-4323.20420000, -0.44080000, -0.45230000,
2986.86676002,-4283.34060000, -0.43680000, -0.45070000,
2986.96750689,-4274.56680000, -0.43590000, -0.44920000,
2987.06905651,-4281.24250000, -0.43660000, -0.44800000,
2987.16954803,-4266.36510000, -0.43500000, -0.44670000,
2987.26689649,-4231.07910000, -0.43140000, -0.44520000,
2987.36690092,-4210.47970000, -0.42930000, -0.44360000,
2987.47057772,-4150.77960000, -0.42330000, -0.44150000,
2987.57038689,-4072.95960000, -0.41530000, -0.43890000,
2987.67090225,-4035.76630000, -0.41150000, -0.43620000,
2987.77263379,-3901.67940000, -0.39790000, -0.43230000,
2987.87168193,-3839.11830000, -0.39150000, -0.42830000,
2987.97182775,-3774.45900000, -0.38490000, -0.42390000,
2988.07196116,-3704.64990000, -0.37780000, -0.41930000,
2988.17286706,-3604.32320000, -0.36750000, -0.41410000,
2988.27358150,-3569.22800000, -0.36400000, -0.40910000,
2988.37467694,-3619.96350000, -0.36910000, -0.40510000,
2988.47400880,-3687.29300000, -0.37600000, -0.40220000,
2988.57482529,-3755.95770000, -0.38300000, -0.40030000,
2988.67593288,-3848.08280000, -0.39240000, -0.39950000,
2988.76649976,-3938.87280000, -0.40170000, -0.39970000,
2988.87675691,-4092.79610000, -0.41730000, -0.40150000,
2988.98015523,-4232.22350000, -0.43160000, -0.40450000,
2989.07753849,-4269.41690000, -0.43540000, -0.40760000,
2989.17921448,-4459.77060000, -0.45480000, -0.41230000,
2989.26665163,-4494.29370000, -0.45830000, -0.41690000,
2989.37893343,-4510.50620000, -0.45990000, -0.42120000,
2989.48072290,-4527.48160000, -0.46170000, -0.42520000,
2989.57999659,-4470.45180000, -0.45590000, -0.42830000,
2989.68191743,-4377.94520000, -0.44640000, -0.43010000,
2989.78146672,-4259.30790000, -0.43430000, -0.43050000,
2989.88220882,-4112.25110000, -0.41930000, -0.42940000,
2989.98142910,-3951.84280000, -0.40300000, -0.42680000,
2990.08230352,-3739.17300000, -0.38130000, -0.42220000,
2990.18334103,-3583.53310000, -0.36540000, -0.41650000,
2990.28401923,-3423.31550000, -0.34910000, -0.40980000,
2990.38379335,-3186.80390000, -0.32500000, -0.40130000,
2990.48384881,-3086.47710000, -0.31470000, -0.39270000,
2990.58502007,-2962.49930000, -0.30210000, -0.38360000,
2990.68492913,-2882.77190000, -0.29400000, -0.37460000,
2990.78583598,-2831.65490000, -0.28870000, -0.36600000,
2990.89095736,-2763.56240000, -0.28180000, -0.35760000,
2990.99055457,-2703.48080000, -0.27570000, -0.34940000,
2991.09038353,-2717.02300000, -0.27710000, -0.34220000,
2991.19065404,-2671.81880000, -0.27240000, -0.33520000,
2991.29085255,-2688.41280000, -0.27410000, -0.32910000,
2991.39159727,-2671.43730000, -0.27240000, -0.32340000,
2991.48985648,-2619.17590000, -0.26710000, -0.31780000,
2991.58967376,-2558.71280000, -0.26090000, -0.31210000,
2991.69163084,-2482.60950000, -0.25320000, -0.30620000,
2991.79122210,-2452.28260000, -0.25010000, -0.30060000,
2991.89072704,-2376.75140000, -0.24240000, -0.29480000,
2991.99180937,-2307.89600000, -0.23530000, -0.28880000,
2992.09198070,-2246.47930000, -0.22910000, -0.28290000,
2992.19312596,-2185.44400000, -0.22290000, -0.27690000,
2992.29310727,-2132.03820000, -0.21740000, -0.27090000,
2992.39303446,-1999.47720000, -0.20390000, -0.26420000,
2992.49408674,-1881.22140000, -0.19180000, -0.25700000,
2992.59486318,-1781.65760000, -0.18170000, -0.24940000,
2992.69744515,-1643.75600000, -0.16760000, -0.24130000,
2992.79483986,-1472.09430000, -0.15010000, -0.23210000,
2992.89590096,-1333.04840000, -0.13590000, -0.22250000,
2992.99778104,-1210.40560000, -0.12340000, -0.21260000,
2993.09702063,-1082.23160000, -0.11040000, -0.20240000,
2993.19921780,-888.06310000, -0.09060000, -0.19120000,
2993.29279208,-787.73640000, -0.08030000, -0.18010000,
2993.39862323,-696.18350000, -0.07100000, -0.16920000,
2993.49945831,-562.28740000, -0.05730000, -0.15800000,
2993.60113716,-461.00700000, -0.04700000, -0.14690000,
2993.70069838,-285.33990000, -0.02910000, -0.13510000,
2993.79996276,-157.73800000, -0.01610000, -0.12320000,
2993.90112686,-54.16880000, -0.00550000, -0.11150000,
2994.00281429, 63.70560000,  0.00650000, -0.09970000,
2994.10278201,214.76780000,  0.02190000, -0.08750000,
2994.20304465,360.68030000,  0.03680000, -0.07510000,
