line tracking
time,cross\_track\_err\_input,cross\_track\_err\_setpoint,yaw\_line,yaw\_setpoint,
seconds,m,m,rad,rad,
5174.89576459, -0.09000000,  0.00000000,  3.92490000,  4.08730000,
5174.99585152, -0.07000000,  0.00000000,  3.92490000,  4.08610000,
5175.09609294, -0.05000000,  0.00000000,  3.92490000,  4.08440000,
5175.19592905, -0.02000000,  0.00000000,  3.92490000,  4.08240000,
5175.29575205, -0.04000000,  0.00000000,  3.92490000,  4.08410000,
5175.39582133, -0.05000000,  0.00000000,  3.92490000,  4.08450000,
5175.49572110, -0.05000000,  0.00000000,  3.92490000,  4.08450000,
5175.59606504, -0.08000000,  0.00000000,  3.92490000,  4.08690000,
5175.69582057, -0.13000000,  0.00000000,  3.92490000,  4.09020000,
5175.79612851, -0.25000000,  0.00000000,  3.92490000,  4.09830000,
5175.89616513, -0.24000000,  0.00000000,  3.92490000,  4.09750000,
5175.99577093, -0.30000000,  0.00000000,  3.92490000,  4.10190000,
5176.09606886, -0.34000000,  0.00000000,  3.92490000,  4.10480000,
5176.19576192, -0.38000000,  0.00000000,  3.92490000,  4.10780000,
5176.29578614, -0.37000000,  0.00000000,  3.92490000,  4.10710000,
5176.39578032, -0.44000000,  0.00000000,  3.92490000,  4.11160000,
5176.49618697, -0.51000000,  0.00000000,  3.92490000,  4.11660000,
5176.59616661, -0.51000000,  0.00000000,  3.92490000,  4.11710000,
5176.69612050, -0.56000000,  0.00000000,  3.92490000,  4.12060000,
5176.79619074, -0.58000000,  0.00000000,  3.92490000,  4.12220000,
5176.89675260, -0.54000000,  0.00000000,  3.92490000,  4.12010000,
5176.99739218, -0.54000000,  0.00000000,  3.92490000,  4.12010000,
5177.09715986, -0.55000000,  0.00000000,  3.92490000,  4.12110000,
5177.19656706, -0.52000000,  0.00000000,  3.92490000,  4.11910000,
5177.29618859, -0.51000000,  0.00000000,  3.92490000,  4.11870000,
5177.39613867, -0.48000000,  0.00000000,  3.92490000,  4.11700000,
5177.49600196, -0.50000000,  0.00000000,  3.92490000,  4.11890000,
5177.59582806, -0.47000000,  0.00000000,  3.92490000,  4.11690000,
5177.69574690, -0.46000000,  0.00000000,  3.92490000,  4.11650000,
5177.79576468, -0.47000000,  0.00000000,  3.92490000,  4.11780000,
5177.89612293, -0.49000000,  0.00000000,  3.92490000,  4.11890000,
5177.99574089, -0.49000000,  0.00000000,  3.92490000,  4.11920000,
5178.09604955, -0.46000000,  0.00000000,  3.92490000,  4.11750000,
5178.19579864, -0.46000000,  0.00000000,  3.92490000,  4.11780000,
5178.29576659, -0.44000000,  0.00000000,  3.92490000,  4.11670000,
5178.39576387, -0.43000000,  0.00000000,  3.92490000,  4.11600000,
5178.49570990, -0.42000000,  0.00000000,  3.92490000,  4.11600000,
5178.59570932, -0.41000000,  0.00000000,  3.92490000,  4.11560000,
5178.69574308, -0.36000000,  0.00000000,  3.92490000,  4.11240000,
5178.79588509, -0.30000000,  0.00000000,  3.92490000,  4.10830000,
5178.89602971, -0.29000000,  0.00000000,  3.92490000,  4.10780000,
5178.99598384, -0.24000000,  0.00000000,  3.92490000,  4.10470000,
5179.09576535, -0.21000000,  0.00000000,  3.92490000,  4.10270000,
5179.19574165, -0.14000000,  0.00000000,  3.92490000,  4.09830000,
5179.29588342, -0.17000000,  0.00000000,  3.92490000,  4.09990000,
5179.39582515, -0.06000000,  0.00000000,  3.92490000,  4.09280000,
5179.49627733, -0.10000000,  0.00000000,  3.92490000,  4.09560000,
5179.59596372,  0.01000000,  0.00000000,  3.92490000,  4.08810000,
